item_id,item_name,item_category,mfg_date,exp_date,item_price
123,Swimways Ariel Glitter Dive Characters A,Toys,8/24/2023,12/26/2024,9.99
124,Two Arabic Travel Books - (Library of Ar,"Movies, Music & Books",12/2/2022,10/13/2024,40.49
125,mDesign Waterproof PEVA Shower Curtain L,Home,1/10/2023,2/29/2024,15.99
126,Best Paper Greetings 6-Pack 60 Sheets St,School & Office Supplies,2/15/2023,10/7/2024,16.99
127,"Roman 12"" Brown and Gold Holy Family Chr",Holiday Shop,5/1/2022,12/3/2023,43.74
128,mDesign Wide PEVA Shower Curtain Liner f,Home,10/28/2022,6/25/2024,15.99
129,mDesign X-Long Premium Waterproof EVA Sh,Home,2/10/2022,10/7/2023,15.99
130,Alera Narrow Profile Bookcase Wood Venee,Furniture,10/7/2022,5/2/2024,233.87
131,Northlight 8' White Artificial Christmas,Holiday Shop,9/21/2022,11/3/2023,13.99
132,Dance and Music - by  Harriet Cavalli (P,"Movies, Music & Books",6/28/2023,3/6/2025,32.99
133,Win from Within - by  John Gray (Hardcov,"Movies, Music & Books",1/26/2022,6/17/2023,13.19
134,AudioQuest Photon 48 4K-8K 48Gbps HDMI C,Electronics,4/19/2023,10/27/2024,79.95
135,Best Paper Greetings 24 Sheets 6 Color G,Top Deals,10/16/2023,12/6/2024,15.99
136,Raised with Christ - by  Adrian Warnock ,"Movies, Music & Books",5/28/2022,2/14/2024,14.19
137,"Forum Novelties Plastic 19"" Butcher Knif",Holiday Shop,9/2/2023,2/11/2025,13.99
138,"Old World Christmas 3.75"" Old World Chri",Holiday Shop,7/22/2022,1/24/2024,11.99
139,AudioQuest Photon 48 4K-8K 48Gbps HDMI C,Electronics,2/4/2022,4/20/2023,179.95
140,Juvale 12-Pack 3 Page Triple Fold PVC Cl,School & Office Supplies,4/21/2022,9/8/2023,39.99
141,Palamon Assassin's Creed Jacob's Cane Sw,Holiday Shop,1/28/2023,11/5/2024,23.99
142,"72"" Bristol 5 Metal Corner Bookcase Vint",Furniture,2/17/2022,12/28/2023,159.99
143,Ashman Deluxe Bird Feeding Station Kit w,Patio & Garden,10/22/2023,8/3/2025,52.99
144,Nachtmann Stars 15.7 Inch Serving Tray,Kitchen & Dining,11/12/2022,7/26/2024,39.38
145,Ganz Seaside Escape Red and White Spiral,Holiday Shop,4/6/2022,2/5/2024,13.99
146,Mayline Medina Series Laminate Pedestal ,Furniture,1/8/2023,6/28/2024,471.53
147,Messermeister Red Stainless Steel 4.5 In,Kitchen & Dining,10/20/2022,8/13/2024,14.2
148,Onyx Impulse A/M-33 Automatic/Manual Inf,Sports & Outdoors,2/23/2022,10/31/2023,209.99
149,Chris Killip: Skinningrove - (Hardcover),"Movies, Music & Books",6/11/2023,12/17/2024,58
150,Lakeside Plush Shelf Sitter Mummy for Ha,Home,11/6/2022,9/26/2024,15.98
151,"Northlight 18"" White and Red Wooden Snow",Home,8/21/2023,5/22/2025,53.74
152,Southworth 25% Cotton #10 Business Envel,School & Office Supplies,5/2/2023,10/21/2024,33.43
153,Ashman 92 Inch Shepherd's Hook Premium D,Patio & Garden,3/10/2023,9/9/2024,84.99
154,Seeing Through Race - by  Martin A Berge,"Movies, Music & Books",4/22/2022,12/12/2023,34.99
155,Marsilio Ficino - (Western Esoteric Mast,"Movies, Music & Books",6/15/2022,8/2/2023,18.99
156,The Complete Family Office Handbook - 2n,"Movies, Music & Books",6/3/2022,2/5/2024,65.99
157,Riedel Extreme Crystal Riesling 16.25 Ou,Kitchen & Dining,6/8/2022,9/10/2023,49
158,Juvale Bulk Dice - 100 Piece Set - 16mm ,Toys,4/10/2022,7/25/2023,15.99
159,UNIVERSAL Self Seal Catalog Envelope 6 x,School & Office Supplies,3/11/2023,2/8/2025,16.26
160,"Lexington 70"" Solid Wood TV Stand Dark M",Furniture,10/18/2022,2/5/2024,497.19
161,"1.5"" Ring Three-Hold Punch Binder - Five",School & Office Supplies,8/2/2023,1/17/2025,8.99
162,Tektro Basic Bleed Kit for 5.0mm Hydraul,Sports & Outdoors,1/19/2023,10/23/2024,25.63
163,Greenworks GCS80450 80V Lithium-Ion Digi,Patio & Garden,9/26/2022,11/12/2023,186.69
164,Northlight 3ct Plush Santa Gnomes Christ,Holiday Shop,5/23/2022,8/16/2023,13.99
165,"Juvale 12 Roll RV Toilet Paper, 2-Ply Qu",Household Essentials,3/13/2023,11/16/2024,24.99
166,Blue Rose Polish Pottery Butterfly Deep ,Kitchen & Dining,7/2/2023,3/24/2025,119.5
167,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
168,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
169,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
170,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
171,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
172,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
173,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
174,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
175,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
176,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
177,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
178,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
179,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
180,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
181,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
182,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
183,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
184,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
185,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
186,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
187,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
188,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
189,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
190,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
191,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
192,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
193,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
194,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
195,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
196,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
197,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
198,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
199,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
200,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
201,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
202,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
203,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
204,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
205,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
206,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
207,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
208,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
209,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
210,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
211,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
212,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
213,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
214,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
215,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
216,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
217,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
218,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
219,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
220,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
221,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
222,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
223,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
224,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
225,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
226,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
227,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
228,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
229,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
230,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
231,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
232,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
233,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
234,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
235,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
236,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
237,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
238,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
239,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
240,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
241,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
242,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
243,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
244,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
245,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
246,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
247,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
248,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
249,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
250,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
251,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
252,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
253,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
254,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
255,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
256,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
257,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
258,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
259,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
260,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
261,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
262,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
263,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
264,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
265,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
266,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
267,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
268,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
269,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
270,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
271,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
272,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
273,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
274,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
275,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
276,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
277,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
278,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
279,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
280,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
281,NMR Distribution Zoltar Fortunes Playing,Toys,7/2/2023,3/24/2025,10.99
282,The Gifted Stationery 2021 - 2022 Monthl,School & Office Supplies,7/2/2023,3/24/2025,12.99
283,The Gifted Stationery 2021 - 2022 Monthl,School & Office Supplies,7/2/2023,3/24/2025,12.99
284,The Gifted Stationery 2021 - 2022 Monthl,School & Office Supplies,7/2/2023,3/24/2025,12.99
285,The Gifted Stationery 2021 - 2022 Monthl,School & Office Supplies,7/2/2023,3/24/2025,12.99
286,The Gifted Stationery 2021 - 2022 Monthl,School & Office Supplies,7/2/2023,3/24/2025,12.99
287,The Gifted Stationery 2021 - 2022 Monthl,School & Office Supplies,7/2/2023,3/24/2025,12.99
288,The Gifted Stationery 2021 - 2022 Monthl,School & Office Supplies,7/2/2023,3/24/2025,12.99
